National,National_code,County,County_code,Sub-County,Sub-County_code,Ward,Ward_code,Village,Village_code
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Central,156733210001
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Gai Central,156733210002
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Gai Market,156733210003
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Ikinda,156733210004
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Ikirita,156733210005
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Ikukumwa,156733210006
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Ikunza,156733210007
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Ikuuni,156733210008
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Ilalambyu,156733210009
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Ilamba,156733210010
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Ilelambyu,156733210011
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Ililu,156733210012
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Ithui,156733210013
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Itivanzou A,156733210014
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Itivanzou B,156733210015
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Itulu,156733210016
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Itundua,156733210017
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Ivonangya,156733210018
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kaangae,156733210019
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kaghui,156733210020
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kairu,156733210021
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kairungu,156733210022
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kaithango,156733210023
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kakoo,156733210024
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kakoongo,156733210025
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kakunike,156733210026
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kakwiro,156733210027
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kalaa,156733210028
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kaliani,156733210029
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kaliluni,156733210030
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kalole,156733210031
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kamugu,156733210032
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kamula,156733210033
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kamuthusi,156733210034
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kamutukya,156733210035
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kamwengi,156733210036
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kanana,156733210037
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kandawa,156733210038
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kandioya,156733210039
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kandongu,156733210040
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kandwia,156733210041
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kandwia Central,156733210042
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kangii,156733210043
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kangilu,156733210044
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kango,156733210045
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kangungu,156733210046
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kanongo,156733210047
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kanyululu,156733210048
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kanyululu Central,156733210049
Kenya,1,Kitui,15,Mwingi North,67,Kyuso,332,Kanzeru,156733210050
