id,NAME_0,NAME_1,NAME_2,NAME_3
,Kenya,Baringo,805,Lembus
,Kenya,Baringo,Baringo Central,Ewalel/Chapchap
,Kenya,Baringo,Baringo Central,Kabarnet
,Kenya,Baringo,Baringo Central,Kapropita
,Kenya,Baringo,Baringo Central,Sacho
,Kenya,Baringo,Baringo Central,Tenges
,Kenya,Baringo,Baringo North,Bartabwa
,Kenya,Baringo,Baringo North,Barwessa
,Kenya,Baringo,Baringo North,Kabartonjo
,Kenya,Baringo,Baringo North,Saimo/Kipsaraman
,Kenya,Baringo,Baringo North,Saimo/Soi
,Kenya,Baringo,Baringo South,Ilchamus
,Kenya,Baringo,Baringo South,Marigat
,Kenya,Baringo,Baringo South,Mochongoi
,Kenya,Baringo,Baringo South,Mukutani
,Kenya,Baringo,Eldama Ravine,Koibatek
,Kenya,Baringo,Eldama Ravine,Lembus Kwen
,Kenya,Baringo,Eldama Ravine,Lembus/Perkerra
,Kenya,Baringo,Eldama Ravine,Mumberes/Maji Mazuri
,Kenya,Baringo,Eldama Ravine,Ravine
,Kenya,Baringo,Mogotio,Emining
,Kenya,Baringo,Mogotio,Kisanana
,Kenya,Baringo,Mogotio,Mogotio
,Kenya,Baringo,Tiaty,Churo/Amaya
,Kenya,Baringo,Tiaty,Kolowa
,Kenya,Baringo,Tiaty,Loiyamorock
,Kenya,Baringo,Tiaty,Ribkwo
,Kenya,Baringo,Tiaty,Silale
,Kenya,Baringo,Tiaty,Tangulbei/Korossi
,Kenya,Baringo,Tiaty,Tirioko
,Kenya,Bomet,Bomet Central,Chesoen
,Kenya,Bomet,Bomet Central,Mutarakwa
,Kenya,Bomet,Bomet Central,Ndaraweta
,Kenya,Bomet,Bomet Central,Silibwet Township
,Kenya,Bomet,Bomet Central,Singorwet
,Kenya,Bomet,Bomet East,Chemaner
,Kenya,Bomet,Bomet East,Kembu
,Kenya,Bomet,Bomet East,Kipreres
,Kenya,Bomet,Bomet East,Longisa
,Kenya,Bomet,Bomet East,Merigi
,Kenya,Bomet,Chepalungu,Chebunyo
,Kenya,Bomet,Chepalungu,Kong'Asis
,Kenya,Bomet,Chepalungu,Nyangores
,Kenya,Bomet,Chepalungu,Sigor
,Kenya,Bomet,Chepalungu,Siongiroi
,Kenya,Bomet,Konoin,Boito
,Kenya,Bomet,Konoin,Chepchabas
,Kenya,Bomet,Konoin,Embomos
,Kenya,Bomet,Konoin,Kimulot
,Kenya,Bomet,Konoin,Mogogosiek
,Kenya,Bomet,Sotik,Chemagel
,Kenya,Bomet,Sotik,Kapletundo
,Kenya,Bomet,Sotik,Kipsonoi
,Kenya,Bomet,Sotik,Ndanai/Abosi
,Kenya,Bomet,Sotik,Rongena/Manaret
,Kenya,Bungoma,Bumula,Bumula
,Kenya,Bungoma,Bumula,Kabula
,Kenya,Bungoma,Bumula,Khasoko
,Kenya,Bungoma,Bumula,Kimaeti
,Kenya,Bungoma,Bumula,Siboti
,Kenya,Bungoma,Bumula,South Bukusu
,Kenya,Bungoma,Bumula,West Bukusu
,Kenya,Bungoma,Kabuchai,Bwake/Luuya
,Kenya,Bungoma,Kabuchai,Kabuchai/Chwele
,Kenya,Bungoma,Kabuchai,Mukuyuni
,Kenya,Bungoma,Kabuchai,West Nalondo
,Kenya,Bungoma,Kanduyi,Bukembe East
,Kenya,Bungoma,Kanduyi,Bukembe West
,Kenya,Bungoma,Kanduyi,East Sang'Alo
,Kenya,Bungoma,Kanduyi,Khalaba
,Kenya,Bungoma,Kanduyi,Marakaru/Tuuti
,Kenya,Bungoma,Kanduyi,Musikoma
,Kenya,Bungoma,Kanduyi,Township
,Kenya,Bungoma,Kanduyi,West Sang'Alo
,Kenya,Bungoma,Kimilili,Kamukuywa
,Kenya,Bungoma,Kimilili,Kibingei
,Kenya,Bungoma,Kimilili,Kimilili
,Kenya,Bungoma,Kimilili,Maeni
,Kenya,Bungoma,Likuyani,Kongoni
,Kenya,Bungoma,Likuyani,Likuyani
,Kenya,Bungoma,Likuyani,Nzoia
,Kenya,Bungoma,Likuyani,Sango
,Kenya,Bungoma,Likuyani,Sinoko
,Kenya,Bungoma,Lugari,Chekalini
,Kenya,Bungoma,Lugari,Lugari
,Kenya,Bungoma,Lugari,Lumakanda
,Kenya,Bungoma,Lugari,Mautuma
,Kenya,Bungoma,Mt. Elgon,Cheptais
,Kenya,Bungoma,Mt. Elgon,Chepyuk
,Kenya,Bungoma,Mt. Elgon,Chesikaki
,Kenya,Bungoma,Mt. Elgon,Elgon
,Kenya,Bungoma,Mt. Elgon,Kapkateny
,Kenya,Bungoma,Mt. Elgon,Kaptama
,Kenya,Bungoma,Sirisia,Lwandanyi
,Kenya,Bungoma,Sirisia,Malakisi/South Kulisiru
,Kenya,Bungoma,Sirisia,Namwela
,Kenya,Bungoma,Tongaren,Mbakalo
,Kenya,Bungoma,Tongaren,Milima
,Kenya,Bungoma,Tongaren,Naitiri/Kabuyefwe
,Kenya,Bungoma,Tongaren,Ndalu/ Tabani
,Kenya,Bungoma,Tongaren,Soysambu/ Mitua
,Kenya,Bungoma,Tongaren,Tongaren
,Kenya,Bungoma,Webute West,Bokoli
,Kenya,Bungoma,Webute West,Matulo
,Kenya,Bungoma,Webute West,Misikhu
,Kenya,Bungoma,Webute West,Sitikho
,Kenya,Bungoma,Webuye East,Maraka
,Kenya,Bungoma,Webuye East,Mihuu
,Kenya,Bungoma,Webuye East,Ndivisi
,Kenya,Busia,Budalangi,Bunyala Central
,Kenya,Busia,Budalangi,Bunyala North
,Kenya,Busia,Budalangi,Bunyala South
,Kenya,Busia,Budalangi,Bunyala West
,Kenya,Busia,Butula,Elugulu
,Kenya,Busia,Butula,Kingandole
,Kenya,Busia,Butula,Marachi Central
,Kenya,Busia,Butula,Marachi East
,Kenya,Busia,Butula,Marachi North
,Kenya,Busia,Butula,Marachi West
,Kenya,Busia,Funyula,Ageng'A Nanguba
,Kenya,Busia,Funyula,Bwiri
,Kenya,Busia,Funyula,Namboboto Nambuku
,Kenya,Busia,Funyula,Nangina
,Kenya,Busia,Matayos,Bukhayo West
,Kenya,Busia,Matayos,Burumba
,Kenya,Busia,Matayos,Busibwabo
,Kenya,Busia,Matayos,Matayos South
,Kenya,Busia,Matayos,Mayenje
,Kenya,Busia,Nambale,Bukhayo Central
,Kenya,Busia,Nambale,Bukhayo East
,Kenya,Busia,Nambale,Bukhayo North/Waltsi
,Kenya,Busia,Nambale,Nambale Township
,Kenya,Busia,Teso North,Ang'Urai East
,Kenya,Busia,Teso North,Ang'Urai North
,Kenya,Busia,Teso North,Ang'Urai South
,Kenya,Busia,Teso North,Malaba Central
,Kenya,Busia,Teso North,Malaba North
,Kenya,Busia,Teso North,Malaba South
,Kenya,Busia,Teso South,Amukura Central
,Kenya,Busia,Teso South,Amukura East
,Kenya,Busia,Teso South,Amukura West
,Kenya,Busia,Teso South,Ang'Orom
,Kenya,Busia,Teso South,Chakol North
,Kenya,Busia,Teso South,Chakol South
,Kenya,Elgeyo-Marakwet,Keiyo North,Emsoo
,Kenya,Elgeyo-Marakwet,Keiyo North,Kamariny
,Kenya,Elgeyo-Marakwet,Keiyo North,Kapchemutwa
,Kenya,Elgeyo-Marakwet,Keiyo North,Tambach
,Kenya,Elgeyo-Marakwet,Keiyo South,Chepkorio
,Kenya,Elgeyo-Marakwet,Keiyo South,Kabiemit
,Kenya,Elgeyo-Marakwet,Keiyo South,Kaptarakwa
,Kenya,Elgeyo-Marakwet,Keiyo South,Metkei
,Kenya,Elgeyo-Marakwet,Keiyo South,Soy North
,Kenya,Elgeyo-Marakwet,Keiyo South,Soy South
,Kenya,Elgeyo-Marakwet,Marakwet East,Endo
,Kenya,Elgeyo-Marakwet,Marakwet East,Kapyego
,Kenya,Elgeyo-Marakwet,Marakwet East,Sambirir
,Kenya,Elgeyo-Marakwet,Marakwet West,Arror
,Kenya,Elgeyo-Marakwet,Marakwet West,Cherang'Any/Chebororwa
,Kenya,Elgeyo-Marakwet,Marakwet West,Kapsowar
,Kenya,Elgeyo-Marakwet,Marakwet West,Moiben/Kuserwo
