current, previous
"scho","school"
"heal_faci","healthcare_facility"
"tran_stat_bus_trai_airp_fuel_othe","transport_station_bus_train_airport_fuel_other"
"mark","market"
"publ_toil","publ_toilet"
"gove_offi","government_office"
"camp_fish_mini_farm","camp_fishing_mining_farming"
"wors_cent_chur_cath_mosq_temp_othe","worship_centres_churches_cathedrals_mosques_temples_other"
"buri_plac","burial_place"
"priv_inst","private_institutions"
"pris","prisons"
"othe_inst","other_institutions"
"g0_all_inst_toil_are_nonf","g0_all_institutions_toilets_are_nonfunctional"
"g1_some_inst_toil_are_nonf","g1_some_institution_toilets_are_nonfunctional"
"g3_all_toil_inst_are_func","g3_all_toilets_institution_are_functional"
"g0_all_inst_toil_are_not_flyp","g0_all_institution_toilets_are_not_flyproof"
"g1_some_inst_toil_are_not_flyp","g1_some_institution_toilets_are_not_flyproof"
"g3_all_func_toil_are_flyp","g3_all_functional_toilets_are_flyproof"
"g0_all_inst_toil_are_not_clea","g0_all_institution_toilets_are_not_clean"
"g1_some_inst_toil_are_not_clea","g1_some_institution_toilets_are_not_clean"
"g3_all_func_toil_are_clea","g3_all_functional_toilets_are_clean"
"g0_all_inst_toil_slab_are_not_dura","g0_all_institution_toil_slabs_are_not_durable"
"g1_some_inst_toil_slab_are_not_dura","g1_some_institution_toil_slabs_are_not_durable"
"g3_all_inst_func_toil_slab_are_dura","g3_all_institution_functional_toil_slabs_are_durable"
"g0_visi_surf_outf_from_cont","g0_visible_surface_outflows_from_containment"
"g1_evid_prev_surf_outf_from_cont","g1_evidence_previous_surface_outflows_from_containment"
"g3_safe_mana_cont_all_inst_no_surf_outf","g3_safe_managed_containment_all_institutions_no_surface_outflows"
"g0_no_toil_no_cont_syst","g0_no_toilet_no_containment_system"
"g0_unsa_cont_open_cont","g0_unsafe_containment_open_containers"
"g1_risk_unsa_serv_neve_empt_inte_to_empt_when_full","g1_risk_unsafe_services_never_emptied_intention_to_emptied_when_full"
"g3_neve_empt_not_yet_full_firs_toil_no_inte_to_empt","g3_never_emptied_not_yet_full_first_toilets_no_intention_to_empty"
"g3_neve_empt_prev_pits_tank_repl_when_full","g3_never_emptied_previous_pits_tank_replaced_when_full"
"g3_safe_mana_sewe_conn_to_lice_func_trea_site","g3_safely_managed_sewer_connection_to_licenced_functional_treatment_site"
"g0_unsa_disp_to_open_pit_open_spac_open_drai_wate_body_with_500m","g0_unsafe_disposal_to_open_pit_open_space_open_draim_water_body_within_500m"
"g0_unsa_disp_to_open_spac_open_drai_wate_body_more_than_500m","g0_unsafe_disposal_to_open_space_open_drain_water_body_more_than_500m"
"g0_unsa_trea_disp_empt_by_unli_serv_prov_to_offs_loc","g0_unsafe_treatment_disposal_emptied_by_unlicenced_service_provider_to_offsite_locaction"
"g0_unsa_trea_disp_clos_cont_remo_by_unli_serv_prov_to_offs_loc","g0_unsafe_treatment_disposal_closed_container_removed_by_unlicenced_service_provider_to_offsite_location"
"g0_unsa_trea_disp_sewe_conn_to_open_disc","g0_unsafe_treatment_disposal_sewer_connection_to_open_discharge"
"g0_unsa_serv_othe_unsa_mana_serv","g0_unsafe_services_other_unsafely_managed_services"
"g1_unsa_stor_stor_for_less_than_2_year_befo_use_stor_wast","g1_unsafe_storage_stored_for_less_than_2_years_before_use_stored_waste"
"g1_unsa_trea_disp_sewe_conn_to_unli_nonf_trea_site","g1_unsafe_treatment_disposal_sewer_connection_to_unlicenced_nonfunctional_treatment_site"
"g3_safe_mana_empt_to_cove_pit","g3_safely_managed_emptied_to_cover_pit"
"g3_safe_mana_stor_for_more_than_2_year_befo_use_stor_wast","g3_safely_managed_stored_for_more_than_2_years_before_use_stored_waste"
"g3_safe_mana_empt_by_lice_serv_prov_to_offs_loc","g3_safely_managed_emptied_by_licenced_service_provider_to_offsite_location"
"g3_safe_mana_clos_cont_remo_by_lice_serv_prov_to_offs_loc","g3_safely_managed_closed_container_removed_by_licenced_service_provider_to_offsite_location"
"g3_safe_mana_othe_safe_mana_serv","g3_safely_managed_other_safely_managed_services"
"g0_high_risk_grou_cont","g0_high_risk_groundwater_contamination"
"g2_low_risk_grou_cont","g2_low_risk_groundwater_contamination"
"g0_no_hand_faci","g0_no_handwashing_facility"
"g1_hand_faci_by_toil","g1_handwashing_facility_by_toilet"
"g1_hand_faci_kitc","g1_handwashing_facility_kitchen"
"g1_port_hand_faci_basi_jug_jerr_cont","g1_portable_handwashing_facility_basin_jug_jerrycan_container"
"g1_two_hand_faci","g1_two_handwashing_facilities"
"g1_more_than_two_hand_faci","g1_more_than_two_handwashing_facilities"
"g0_no_hand_faci","g0_no_handwashing_facility"
"g0_no_wate_avai","g0_no_water_available"
"g1_wate_avai","g1_water_available"
"g1_wate_cont_empt_evid_wash","g1_water_container_empty_evidence_washing"
"g0_no_hand_faci","g0_no_handwashing_facility"
"g0_no_soap_othe_clea_avai","g0_no_soap_other_cleanser_available"
"g0_ash_mud_sand_avai","g0_ash_mud_sand_available"
"g0_soap_avai_not_at_hand_faci","g0_soap_available_not_at_handwashing_facility"
"g1_soli_liqu_powd_soap_avai","g1_solid_liquid_powder_soap_available"
"g0_no_hand_faci","g0_no_handwashing_facility"
"g1_jerr_othe_clos_cont","g1_jerrycan_other_closed_container"
"g1_port_basi_othe_open_cont","g1_portable_basin_other_open_container"
"g1_othe_temp_hand_faci","g1_other_temporary_handwashing_facility"
"g3_othe_perm_hand_stat","g3_other_permanent_handwashing_station"
"g3_pipe_wate_tap_with_basi","g3_piped_water_tap_with_basin"
"g3_mark_hand_stat_with_adeq_wate_stor","g3_market_handwashing_station_with_adequate_water_storage"
"g0_hand_ente_wate_cont_duri_coll_use","g0_hands_enter_water_container_during_collection_use"
"g1_wate_coll_by_hand_usin_ladl_cup_othe","g1_water_collected_by_hand_using_ladle_cup_other"
"g3_clos_wate_stor_cont_with_tap","g3_closed_water_storage_container_with_tap"
"g3_pipe_wate_tap","g3_piped_water_tap"
"g3_othe_hand_oper","g3_other_handsfree_operation"
"g0_no_hand_faci","g0_no_handwashing_facility"
"g0_no_coll_disp_wash_wate","g0_no_collection_disposal_washing_water"
"g1_coll_wash_wate_with_drai_disp","g1_collection_washing_water_without_drainage_disposal"
"g3_safe_coll_disp_wash_wate","g3_safe_collection_disposal_washing_water"
