current, previous
"chie_prin","chief_principal"
"seni_prin","senior_principal"
"prin","principal"
"depu_prin","deputy_principal"
"seni_mast","senior_master"
"depu_head","deputy_headteacher"
"teac","teacher"
"no_wate_sour","no_water_source"
"surf_wate_lake_rive_stre_dam","surface_water_lake_river_stream_dam"
"unpr_well","unprotected_well_spring"
"chil_brin_wate_from_home","children_bring_water_from_home"
"pipe_wate_supp","piped_water_supply"
"prot_well","protected_well"
"rain_tank","rainwater_tank"
"pack_wate_bott","packaged_water_bottles"
"tank_truc_cart","tanker_truck_cart"
"othe_impr_spec","other_improved_specify"
"no_unav_for_more_than_30_days_tota","no_unavailable_for_more_than_30_days"
"most_unav_for_up_to_30_days_tota","mostly_unavailable_for_up_to_30_days"
"yes_alwa_avai","yes_always_available"
"no_trea","no_treatment"
"filt","filtration"
"boil","boiling"
"chlo","chlorination"
"ultr_disi","ultraviolet_disinfection"
"othe_spec","other_specify"
"no_toil","no_toilet"
"open_pits","vip_drophole_with_vent_pipe"
"dry_latr_with_drop","dry_latrine_with_drophole"
"flus_pour_pan_with_wate_seal","flush_pour_pan_with_water_seal"
"dry_toil_with_urin_drop","dry_toilet_with_urine_drophole"
"open_pipe_no_wate_seal","open_pipe_no_water_seal"
"othe_hygienic_toil_inte","other_hygienic_toilet_interface"
"othe_unhygienic_toil_inte","other_unhygienic_toilet_interface"
"no_toil","no_toilet"
"no_pit_tank_disc_to_open_fiel_open_drai_wate_body_else","no_pit_tank_discharge_to_open"
"open_pit_unco_larg_open","open_pit_uncovered_large_openings"
"sing_toil_vaul_abov_grou","single_toilet_vault_above_ground"
"remo_open_cont_eg_buck","removable_open_container"
"sing_latr_pit","single_latrine_pit"
"multi_latr_pit","multi_latrine_pit"
"multi_toil_vaul_abov_grou","multi_toilet_vault_above_ground"
"sept_tank","septic_tank"
"remo_clos_cont","removable_close_container"
"flus_to_dont_know","flush_to_dont_know"
"othe_pit_tank","other_pit_tank"
"g0_all_scho_toil_slab_are_not_dura","g0_all_school_toilet_slabs_are_not_durable"
"g1_some_scho_toil_slab_are_not_dura","g1_some_school_toilet_slab_are_not_durable"
"g3_all_func_scho_toil_have_dura_toil_slab","g3_all_funcional_school_toilets_have_durable_toilet_slab"
"no_toil","no_toilet"
"all_scho_toil_are_not_flyp","all_school_toilets_are_not_flyproof"
"some_scho_toil_are_not_flyp","some_school_toilets_are_not_flyproof"
"all_func_scho_toil_are_flyp","all_functional_school_toilets_are_flyproof"
"no_toil","no_toilet"
"all_scho_toil_prov_inad_priv","all_school_toilets_provide_inadequate_privacy"
"some_scho_toil_prov_inad_priv","some_school_toilets_provide_inadequate_privacy"
"all_func_scho_toil_prov_good_priv","all_functional_school_toilets_provide_good_privacy"
"no_toil","no_toilet"
"all_scho_toil_unav_to_stud","all_school_toilets_unavailable_to_students"
"some_scho_toil_unav_to_stud","some_school_toilets_unavailable_to_students"
"all_func_scho_toil_avai_to_stud","all_functional_school_toilets_available_to_students"
"no_toil","no_toilet"
"scho_toil_not_clea","all_functional_school_toilets_are_clean"
"scho_toil_some_clea","school_toilets_not_clean"
"all_func_scho_toil_are_clea","school_toilets_somewhat_clean"
"huma_excr_obse","human_excreta_observed"
"no_visi_od_huma_excr","no_visible_od_human_excreta"
"visi_surf_outf_from_cont","visible_surface_outflows_from_containment"
"evid_prev_surf_outf_from_cont","evident_previous_surface_outflows_from_containment"
"no_toil","no_toilet"
"unsa_cont_empt_to_open_pit_open_spac","unsafely_contained_emptied_to_open_pit_open_space"
"unsa_cont_empt_to_unli_unkn_loc","unsafely_contained_emptied_to_unlicenced_unknown_location"
"unsa_cont_faec_slud_stor_for_less_than_2_year_befo_empt_use_stor_wast","unsafely_contained_faecal_sludge_stored_for_less_than_2_years_before_emptying_use_stored_waste"
"safe_cont_neve_empt_not_yet_full_no_inte_to_empt","safely_contained_never_emptied_not_yet_full_no_intention_to_empty"
"safe_cont_neve_empt_prev_pit_tank_repl_when_full","safely_contained_never_emptied_previous_pit_tank_replaced_when_full"
"safe_cont_stor_for_more_than_2_year_befo_use_stor_wast","safely_contained_stored_for_more_than_2_years_before_use_stored_waste"
"safe_cont_empt_to_near_cove_pit","safely_contained_emptied_to_nearby_covered_pit"
"safe_cont_empt_by_lice_serv_prov","safely_contained_emptied_by_licensed_service_provider"
"no_hand_faci","no_handwashing_facilities"
"hand_faci_outs_scho_comp","handwashing_facilities_outside_school_compound"
"hand_faci_by_scho_toil","handwashing_facility_by_school_toilets"
"hand_faci_food_prep_area","handwashing_facility_food_preparation_area"
"hand_faci_food_cons_area","handwashing_facility_food_consumption_area"
"hand_faci_by_clas","hand_facility_by_classroom"
"hand_faci_scho_yard","handwashing_facility_school_yard"
"othe_loc_for_hand_faci","other_location_for_handwashing_facility"
"no_hand_faci","no_handwashing_facilities"
"no_wate_avai","no_water_availability"
"some_hand_faci_have_wate_avai","some_handwashing_facility_have_water_availability"
"all_hand_faci_have_wate_avai","all_handwashing_facilities_have_water_availability"
"no_hand_faci","no_handwashing_facilities"
"no_soap_othe_clea_avai","no_soap_other_cleanser_available"
"ash_mud_sand_avai","ash_mud_sand_available"
"some_hand_faci_have_soap_avai","some_handwashing_facility_have_soap_available"
"all_hand_faci_have_soap_avai","all_handwashing_facility_have_soap_available"
"no_hand_faci","no_handwashing_facilities"
"jerr_othe_clos_cont","jerrycans_other_closed_containers"
"port_basi_othe_open_cont","portable_basins_other_open_containers"
"othe_temp_hand_faci","other_temporary_handwashing_facilities"
"pipe_wate_taps_with_basi","piped_water_taps_with_basins"
"perm_hand_stat_with_adeq_wate_stor","permanent_handwashing_stations_with_adequate_water_storage"
"othe_perm_hand_stat","other_permanent_handwashing_stations"
"no_hand_faci","no_handwashing_facilities"
"hand_ente_wate_cont_duri_coll_use","hands_enter_water_containers_during_collection_and_use"
"wate_coll_by_hand_usin_ladl_cup_othe","water_collected_by_hand_using_ladle_cup_other"
"clos_wate_stor_cont_with_taps","closed_water_storage_containers_with_taps"
"pipe_wate_taps","piped_water_with_supply_taps"
"othe_hand_free_user","other_handsfree_operation"
"no_hand_faci","no_handwashing_facilities"
"no_coll_disp_wash_wate","no_collection_disposal_washing_water"
"coll_wash_wate_with_drai_disp","collection_washing_water_without_drainage_disposal"
"adeq_coll_disp_wash_wate","safe_collection_disposal_washing_water"
"no_bath_area","no_bathing_areas"
"inad_bath_area","inadequate_bathing_areas"
"priv_bath_area_for_mens_hygi","private_bathing_areas_for_menstrual_hygiene"
"no_bath_area","no_bathing_areas"
"wate_soap_are_not_avai_bath_area","water_soap_are_not_available_bathing_areas"
"some_bath_area_have_wate_soap_avai","some_bathing_areas_have_water_soap_available"
"all_bath_area_have_both_wate_soap_avai","all_bathing_areas_have_both_water_soap_available"
"no_bath_area","no_bathing_areas"
"all_bath_area_are_not_clea","all_bathing_areas_are_not_clean"
"some_bath_area_are_not_clea","some_bathing_areas_are_not_clean"
"clea_bath_area_for_mens_hygi","clean_bathing_areas_for_menstrual_hygiene"
"mate_are_not_avai_not_appr","materials_are_not_available_not_appropriate"
"mate_are_not_alwa_avai_appr","materials_are_not_always_available_appropriate"
"appr_mhm_mate_are_avai","appropriate_mhm_materials_are_available"
"no_cove_bins_avai","no_covered_bins_available"
"some_cove_bins_avai","some_covered_bins_available"
"all_bath_area_have_cove_bins_avai_for_mens_hygi_wast","all_bathing_areas_have_covered_bins_available_for_menstrual_hygiene_wastes"
