current, next
"vill_chie_head","village_chief_head"
"loc_gove_offi","local_government_official"
"comm_heal_volu","community_health_volunteera"
"wate_comm_memb","water_committee_member"
"scho_prin","school_principal"
"natu_lead_clts","natural_leader_clts"
"medi_drai_soil_medi_sand_weat_rock","medium_drainage_soil_sand_weathered_rock"
"high_drai_soil_coar_sand_grav_frac_sand_lime","high_drainage_soil_coarse_sand_gravel_fractured_sandstone_limestone"
"low_drai_soil_fine_sand_silt_clay","low_drainage_soil_fine_sand_silt_clay"
"betw_510m","between_5_10_m"
"prot_grou_sour_prot_bore_prot_dug_well_prot_spri","protected_groundwater_sources"
"unpr_grou_sour_bore_dug_well_spri","unprotected_groundwater_sources"
"no_grou_sour_used","no_groundwater_sources_used"
"more_than_25_perc","more_than_25_percent"
"betw_1_perc_25_perc","between_1_and_25_percent"
"zero_perc","zero_percent"
"more_than_25_perc","more_than_25_percent"
"less_than_25_perc","less_than_25_percent"
"more_than_25_perc","more_than_25_percent"
"less_than_25_perc","less_than_25_percent"
"g0_high_risk_grou_cont","g0_high_risk_groundwater_contamination"
"g2_low_risk_grou_cont","g2_low_risk_groundwater_contamination"
"g0_atri_hh_no_disa_data_avai_from_comm","g0_at_risk_hh_no_disaggregated_data_available"
"g0_atri_hh_not_reli_more_than_5_diff_data","g0_at_risk_hh_not_reliable_more_than_5_percent_difference"
"g1g2_atri_hh_syst_func_less_than_5_diff_data","g1g2_at_rish_hh_system_functional_less_than_5_percent_difference"
"g0_acti_plan_for_g2_not_avai_not_appr_not_use","g0_action_plan_g2_not_available_not_approved_not_in_use"
"g1_acti_plan_for_g2_avai_use","g1_action_plan_g2_available_and_in_use"
"g0_acti_plan_for_g3_not_avai_not_appr_not_use","g0_action_plan_g3_not_available_not_approved_not_in_use"
"g1_acti_plan_for_g3_avai_use","g1_action_plan_g3_available_and_in_use"
"g0_chil_adul_excr_obse_comm_area","g0_child_adult_excreta_observed_communal_areas"
"g1_no_visi_od_huma_excr_chil_adul_comm_area","g1_no_visible_od_or_human_excreta_communal_areas"
"g0_used_diap_visi_comm_area","g0_used_diapers_visible_communal_areas"
"g0_used_diap_unsa_disp_unsa_wash","g0_used_diapers_unsafely_disposed_unsafely_washed"
"g1_wash_clot_safe_empt_safe_wash","g1_washable_cloths_safely_emptied_and_safely_washed"
"g1_disp_diap_put_into_cove_wast_pits","g1_disposable_diapers_put_into_covered_waste_pits"
"g1_disp_diap_buri","g1_disposable_diapers_buried"
"g1_disp_diap_coll_for_disp_at_comm_site","g1_disposable_diapers_collected_for_disposal_communal_site"
"g0_visi_dirt_cont","g0_visible_dirt_contamination"
"g1_not_adeq_clea","g1_not_adequately_clean"
"g2_clea_comm_wate_poin","g2_clean_communal_water_points"
"g0_no_prot_wate_poin","g0_no_protection_water_points"
"g1_inad_prot_wate_poin","g1_inadequate_protection_water_points"
"g2_well_prot_comm_wate_poin","g2_well_protected_communal_water_points"
"g0_stan_wate_visi_arou_wate_poin","g0_standing_water_visible_around_water_points"
"g1_inad_drai_wate_poin","g1_inadequately_drained_water_points"
"g2_well_drai_comm_wate_poin","g2_well_drained_communal_water_points"
"g0_unsa_disp_to_open_pit_open_spac_open_drai_wate_body_comm_area","g0_unsafe_disposal_to_open_pit_space_drain_or_water_body_communal_areas"
"g0_unsa_trea_disp_sewe_conn_to_open_disc_comm_area","g0_unsafe_treatment_disposal_sewer_connection_to_open_discharge_communal_areas"
"g3_safe_mana_empt_to_cove_pit_tren_comm_area","g3_safely_managed_emptied_to_covered_pit_trench_communal_areas"
"g3_safe_mana_comm_disp_faec_slud_safe_mana","g3_safely_managed_communal_disposal_faecal_sludge_safely_managed"
"g0_sign_eros_comm_area","g0_significant_erosion_communal_areas"
"g1_some_visi_eros_comm_area","g1_some_visible_erosion_communal_areas"
"g3_adeq_stor_drai_comm_area","g3_adequate_stormwater_drainage_communal_areas"
"g3_no_sign_stor_eros","g3_no_signs_of_stormwater_erosion"
"g0_sign_visi_soli_wast_comm_area","g0_significant_visible_solid_wastes_communal_areas"
"g1_some_soli_wast_visi_comm_area","g1_some_solid_wastes_visible_communal_areas"
"g3_clea_comp_with_no_visi_soli_wast_comm_area","g3_clean_compound_with_no_visible_solid_wastes_communal_areas"
"g0_sign_stan_wate_comm_area","g0_significant_standing_water_communal_areas"
"g3_no_visi_stan_wate_comm_area","g3_no_visible_standing_water_communal_areas"
"g1_some_stan_wate_comm_area","g1_some_standing_water_communal_areas"
"g0_no_trea_mana_comm_area","g0_no_treatment_management_communal_areas"
"g1_inad_trea_mana_comm_area","g1_inadequate_treatment_management_communal_areas"
"g3_trea_mana_larv_bree_site_comm_area","g3_treated_managed_larval_breeding_sites_communal_areas"
"g3_no_visi_stan_wate_comm_area","g3_no_visible_standing_water_communal_areas"
"scho","school"
"heal_faci","healthcare_facility"
"tran_stat_bus_trai_airp_fuel_othe","transport_station"
"mark","market"
"publ_toil","public_toilet"
"gove_offi","government_office_building"
"camp_fish_mini_farm","camps_fishing_mining_farming"
"wors_cent_chur_cath_mosq_temp_othe","worship_centres"
"buri_plac","burial_place"
"priv_inst","private_institutions"
"pris","prisons"
"othe_inst","other_institutions"
