"id","code","name","level_id","parent_id","path"
1,NULL,"Kenya",1,NULL,NULL
15,NULL,"Kitui",2,1,"1."
23,NULL,"Turkana",2,1,"1."
43,NULL,"Homa Bay",2,1,"1."
67,NULL,"Mwingi North",3,15,"1.15."
68,NULL,"Mwingi West",3,15,"1.15."
69,NULL,"Mwingi Central",3,15,"1.15."
70,NULL,"Kitui West",3,15,"1.15."
71,NULL,"Kitui Rural",3,15,"1.15."
72,NULL,"Kitui Central",3,15,"1.15."
73,NULL,"Kitui East",3,15,"1.15."
74,NULL,"Kitui South",3,15,"1.15."
123,NULL,"Turkana north",3,23,"1.23."
124,NULL,"Turkana west",3,23,"1.23."
125,NULL,"Turkana central",3,23,"1.23."
126,NULL,"Loima",3,23,"1.23."
127,NULL,"Turkana south",3,23,"1.23."
128,NULL,"Turkana east",3,23,"1.23."
245,NULL,"Kasipul",3,43,"1.43."
246,NULL,"Kabondo Kasipul",3,43,"1.43."
247,NULL,"Karachuonyo",3,43,"1.43."
248,NULL,"Rangwe",3,43,"1.43."
249,NULL,"Homa Bay Town",3,43,"1.43."
250,NULL,"Ndhiwa",3,43,"1.43."
251,NULL,"Suba North",3,43,"1.43."
252,NULL,"Suba South",3,43,"1.43."
331,NULL,"Ngomeni",4,67,"1.15.67."
332,NULL,"Kyuso",4,67,"1.15.67."
333,NULL,"Mumoni",4,67,"1.15.67."
334,NULL,"Tseikuru",4,67,"1.15.67."
335,NULL,"Tharaka",4,67,"1.15.67."
336,NULL,"Kyome/Thaana",4,68,"1.15.68."
337,NULL,"Nguutani",4,68,"1.15.68."
338,NULL,"Migwani",4,68,"1.15.68."
339,NULL,"Kiomo/Kyethani",4,68,"1.15.68."
340,NULL,"Central",4,69,"1.15.69."
341,NULL,"Kivou",4,69,"1.15.69."
342,NULL,"Nguni",4,69,"1.15.69."
343,NULL,"Nuu",4,69,"1.15.69."
344,NULL,"Mui",4,69,"1.15.69."
345,NULL,"Waita",4,69,"1.15.69."
346,NULL,"Mutonguni",4,70,"1.15.70."
347,NULL,"Kauwi",4,70,"1.15.70."
348,NULL,"Matinyani",4,70,"1.15.70."
349,NULL,"Kwa Mutonga/Kithumula",4,70,"1.15.70."
350,NULL,"Kisasi",4,71,"1.15.71."
351,NULL,"Mbitini",4,71,"1.15.71."
352,NULL,"Kwavonza/Yatta",4,71,"1.15.71."
353,NULL,"Kanyangi",4,71,"1.15.71."
354,NULL,"Miambani",4,72,"1.15.72."
355,NULL,"Township",4,72,"1.15.72."
356,NULL,"Kyangwithya West",4,72,"1.15.72."
357,NULL,"Mulango",4,72,"1.15.72."
358,NULL,"Kyangwithya East",4,72,"1.15.72."
359,NULL,"Zombe/Mwitika",4,73,"1.15.73."
360,NULL,"Nzambani",4,73,"1.15.73."
361,NULL,"Chuluni",4,73,"1.15.73."
362,NULL,"Voo/Kyamatu",4,73,"1.15.73."
363,NULL,"Endau/Malalani",4,73,"1.15.73."
364,NULL,"Mutito/Kaliku",4,73,"1.15.73."
365,NULL,"Ikanga/Kyatune",4,74,"1.15.74."
366,NULL,"Mutomo",4,74,"1.15.74."
367,NULL,"Mutha",4,74,"1.15.74."
368,NULL,"Ikutha",4,74,"1.15.74."
369,NULL,"Kanziko",4,74,"1.15.74."
370,NULL,"Athi",4,74,"1.15.74."
611,NULL,"Kaeris",4,123,"1.23.123."
612,NULL,"Lake zone",4,123,"1.23.123."
613,NULL,"Lapur",4,123,"1.23.123."
614,NULL,"Kaaleng/Kaikor",4,123,"1.23.123."
615,NULL,"Kibish",4,123,"1.23.123."
616,NULL,"Nakalale",4,123,"1.23.123."
617,NULL,"Kakuma",4,124,"1.23.124."
618,NULL,"Lopur",4,124,"1.23.124."
619,NULL,"Letea",4,124,"1.23.124."
620,NULL,"Songot",4,124,"1.23.124."
621,NULL,"Kalobeyei",4,124,"1.23.124."
622,NULL,"Lokichoggio",4,124,"1.23.124."
623,NULL,"Nanaam",4,124,"1.23.124."
624,NULL,"Kerio delta",4,125,"1.23.125."
625,NULL,"Kang'atotha",4,125,"1.23.125."
626,NULL,"Kalokol",4,125,"1.23.125."
627,NULL,"Lodwar township",4,125,"1.23.125."
628,NULL,"Kanamkemer",4,125,"1.23.125."
629,NULL,"Kotaruk/lobei",4,126,"1.23.126."
630,NULL,"Turkwel",4,126,"1.23.126."
631,NULL,"Loima",4,126,"1.23.126."
632,NULL,"Lokiriama/lorengippi",4,126,"1.23.126."
633,NULL,"Kaputir",4,127,"1.23.127."
634,NULL,"Katilu",4,127,"1.23.127."
635,NULL,"Lobokat",4,127,"1.23.127."
636,NULL,"Kalapata",4,127,"1.23.127."
637,NULL,"Lokichar",4,127,"1.23.127."
638,NULL,"Kapedo/napeitom",4,128,"1.23.128."
639,NULL,"Katilia",4,128,"1.23.128."
640,NULL,"Lokori/kochodin",4,128,"1.23.128."
1221,NULL,"West Kasipul",4,245,"1.43.245."
1222,NULL,"South Kasipul",4,245,"1.43.245."
1223,NULL,"Central Kasipul",4,245,"1.43.245."
1224,NULL,"East Kamagak",4,245,"1.43.245."
1225,NULL,"West Kamagak",4,245,"1.43.245."
1226,NULL,"Kabondo East",4,246,"1.43.246."
1227,NULL,"Kabondo West",4,246,"1.43.246."
1228,NULL,"Kokwanyo/Kakelo",4,246,"1.43.246."
1229,NULL,"Kojwach",4,246,"1.43.246."
1230,NULL,"West Karachuonyo",4,247,"1.43.247."
1231,NULL,"North Karachuonyo",4,247,"1.43.247."
1232,NULL,"Central",4,247,"1.43.247."
1233,NULL,"Kanyaluo",4,247,"1.43.247."
1234,NULL,"Kibiri",4,247,"1.43.247."
1235,NULL,"Wangchieng",4,247,"1.43.247."
1236,NULL,"Kendu Bay Town",4,247,"1.43.247."
1237,NULL,"West Gem",4,248,"1.43.248."
1238,NULL,"East Gem",4,248,"1.43.248."
1239,NULL,"Kagan",4,248,"1.43.248."
1240,NULL,"Kochia",4,248,"1.43.248."
1241,NULL,"Homa Bay Central",4,249,"1.43.249."
1242,NULL,"Homa Bay Arujo",4,249,"1.43.249."
1243,NULL,"Homa Bay West",4,249,"1.43.249."
1244,NULL,"Homa Bay East",4,249,"1.43.249."
1245,NULL,"Kwabwai",4,250,"1.43.250."
1246,NULL,"Kanyadoto",4,250,"1.43.250."
1247,NULL,"Kanyikela",4,250,"1.43.250."
1248,NULL,"Kabuoch North",4,250,"1.43.250."
