status_name,facility_name,facility_ward,facility_constituency,facility_subcounty,facility_county,name,code,date_established,facility
Fully-functional,Naromoru Level 4 Hospital,Naromoru/Kiamathaga,Kieni,Kieni East,Nyeri,Ndiriti Community Unit,713134.0,2015-08-03,72322691-1dda-4c84-9281-8fd1880238dd
Fully-functional,Thung'ari Dispensary,Thegu River,Kieni,Kieni East,Nyeri,Thungari Community Unit,713133.0,2015-08-03,8edc09a4-5179-429f-a67b-5b42b5e52bd9
Fully-functional,Thung'ari Dispensary,Thegu River,Kieni,Kieni East,Nyeri,Thirigitu Community Unit,713132.0,2015-08-03,8edc09a4-5179-429f-a67b-5b42b5e52bd9
Fully-functional,Thung'ari Dispensary,Thegu River,Kieni,Kieni East,Nyeri,Rongai Community Unit,713131.0,2015-08-03,8edc09a4-5179-429f-a67b-5b42b5e52bd9
Fully-functional,Thung'ari Dispensary,Thegu River,Kieni,Kieni East,Nyeri,Maragima Community Unit,713130.0,2015-08-03,8edc09a4-5179-429f-a67b-5b42b5e52bd9
Fully-functional,Thung'ari Dispensary,Thegu River,Kieni,Kieni East,Nyeri,Lusoi Community Unit,713129.0,2015-08-03,8edc09a4-5179-429f-a67b-5b42b5e52bd9
Fully-functional,Thung'ari Dispensary,Thegu River,Kieni,Kieni East,Nyeri,Karicheni Community Unit,713128.0,2015-08-03,8edc09a4-5179-429f-a67b-5b42b5e52bd9
Fully-functional,Thung'ari Dispensary,Thegu River,Kieni,Kieni East,Nyeri,Gaturiri Community Unit,713127.0,2015-08-03,8edc09a4-5179-429f-a67b-5b42b5e52bd9
Fully-functional,Thung'ari Dispensary,Thegu River,Kieni,Kieni East,Nyeri,Gatei Community Unit,713126.0,2015-08-03,8edc09a4-5179-429f-a67b-5b42b5e52bd9
Fully-functional,Kiamathaga Dispensary,Naromoru/Kiamathaga,Kieni,Kieni East,Nyeri,Tigithi Community Unit,713125.0,2015-08-03,d0fe3c37-c642-4cc0-bcbd-b5b362e000b7
Fully-functional,Kiamathaga Dispensary,Naromoru/Kiamathaga,Kieni,Kieni East,Nyeri,Murichu Community Unit,713124.0,2015-08-03,d0fe3c37-c642-4cc0-bcbd-b5b362e000b7
Fully-functional,Kiamathaga Dispensary,Naromoru/Kiamathaga,Kieni,Kieni East,Nyeri,Gikamba Community Unit,713123.0,2015-08-03,d0fe3c37-c642-4cc0-bcbd-b5b362e000b7
Fully-functional,Warazo Rural Health Centre,Kabaru,Kieni,Kieni East,Nyeri,Munyu community Unit,713122.0,2015-08-03,15d74448-611b-41e0-91be-bc7e7d4ca983
Fully-functional,Warazo Rural Health Centre,Kabaru,Kieni,Kieni East,Nyeri,Huhoini Community Unit,713121.0,2015-08-03,15d74448-611b-41e0-91be-bc7e7d4ca983
Fully-functional,Ndathi Dispensary,Kabaru,Kieni,Kieni East,Nyeri,Mbiriri Community Unit,713120.0,2015-08-03,78717c2e-0e31-4c68-94f4-8c2dbe30722b
Fully-functional,Mere Dispensary,Kabaru,Kieni,Kieni East,Nyeri,Kirima Community Unit,713119.0,2016-08-01,19e805ca-aef1-4b4d-97be-7860fa0b38eb
Fully-functional,Mere Dispensary,Kabaru,Kieni,Kieni East,Nyeri,Jet Community Unit,713118.0,2016-08-01,19e805ca-aef1-4b4d-97be-7860fa0b38eb
Fully-functional,Mureru Dispensary,Gakawa,Kieni,Kieni East,Nyeri,Githima Community Unit,713117.0,2016-08-01,1d4a9e82-3c1d-49d8-92f6-d5967f75bdc1
Fully-functional,Mureru Dispensary,Gakawa,Kieni,Kieni East,Nyeri,Gatuanyaga Community Unit,713116.0,2016-08-01,1d4a9e82-3c1d-49d8-92f6-d5967f75bdc1
Fully-functional,Gakawa Dispensary,Gakawa,Kieni,Kieni East,Nyeri,Kahurura Community Unit,713115.0,2016-08-01,dc583dbd-daac-4298-98bc-ba60ac924d6c
Fully-functional,Gakawa Dispensary,Gakawa,Kieni,Kieni East,Nyeri,Kaaga Community Unit,713114.0,2016-08-01,dc583dbd-daac-4298-98bc-ba60ac924d6c
Fully-functional,Gakawa Dispensary,Gakawa,Kieni,Kieni East,Nyeri,Gathiuru Community Unit,713113.0,2016-08-01,dc583dbd-daac-4298-98bc-ba60ac924d6c
Fully-functional,Naivasha District Hospital,Viwandani,Naivasha,Naivasha,Nakuru,Site Community Health Unit,713112.0,2009-09-30,13a1d35f-e3c8-41ef-9e19-3d03fc19e62e
Fully-functional,Karagita Health Centre,Hellsgate,Naivasha,Naivasha,Nakuru,Sanctuary Community Health Unit,713110.0,2014-09-29,0757f96d-5281-4c3e-aa70-29455c9ed603
Fully-functional,Wangu Community Dispensary,Biashara,Naivasha,Naivasha,Nakuru,Kirima Counity Community Health Unit,713111.0,2014-09-29,945fc450-c308-4d0b-b82f-aa0f950bab25
Fully-functional,Kaelo Dispensary,Antuambui,Igembe North,Igembe North,Meru,Miuine Community Health Unit,713107.0,2022-04-07,64f4ded9-e058-4e69-9b32-052a3a6c7283
Fully-functional,Koykoy Dispensary,Saboti,Saboti,Saboti,Trans Nzoia,Legemet Community Unit,713093.0,2020-10-01,a3bd957f-0dd8-4122-83b7-83927d6bf1ba
Fully-functional,Mitume Dispensary,Tuwani,Saboti,Saboti,Trans Nzoia,Huruma,713092.0,2020-10-01,486aa6e6-c895-494b-98ac-99877e506ab0
Fully-functional,Kitalale Dispensary,Kinyoro,Saboti,Saboti,Trans Nzoia,Lokiriama Community Unit,713108.0,2020-10-01,75b8361c-c38e-49e6-88fa-609feae5c0fc
Fully-functional,Saboti Sub County Hospital,Saboti,Saboti,Saboti,Trans Nzoia,Khaoya Community Unit,713109.0,2020-10-01,de579a7d-8039-4f0c-b527-9e9671d83fa5
Fully-functional,Menengai Dispensary,Menengai,Nakuru Town East,Nakuru East,Nakuru,Kiratina Community Unit,713102.0,2008-08-10,d7b38a09-45b4-4250-becd-2c26130dc12f
Fully-functional,Nyahururu District Hospital,Igwamiti,Laikipia West,Laikipia West,Laikipia,Nyahururu upper co-site Community Unit,,2009-07-01,2ce85c23-7813-4cdb-adf1-ee847fa8efde
Fully-functional,Nyahururu District Hospital,Igwamiti,Laikipia West,Laikipia West,Laikipia,Nyahururu Co-site Community Unit,713099.0,2009-07-01,2ce85c23-7813-4cdb-adf1-ee847fa8efde
Fully-functional,Nyahururu District Hospital,Igwamiti,Laikipia West,Laikipia West,Laikipia,Nyahururu Jua kali Community Unit,713095.0,2009-07-01,2ce85c23-7813-4cdb-adf1-ee847fa8efde
Fully-functional,Muthegera Dispensary,Igwamiti,Laikipia West,Laikipia West,Laikipia,Muthengera B Community unit,713097.0,2018-07-01,9fc00d39-1a22-476e-8483-7faa9e343d86
Fully-functional,Maina Village Dispensary,Igwamiti,Laikipia West,Laikipia West,Laikipia,Maina F Community Unit,713091.0,2018-07-01,6e9b6f8d-c964-41d6-82df-4e5cc27c26a7
Fully-functional,Maina Village Dispensary,Igwamiti,Laikipia West,Laikipia West,Laikipia,Maina E Community unit,,2018-07-01,6e9b6f8d-c964-41d6-82df-4e5cc27c26a7
Fully-functional,Maina Village Dispensary,Igwamiti,Laikipia West,Laikipia West,Laikipia,Maini D Community Unit,713098.0,2018-07-01,6e9b6f8d-c964-41d6-82df-4e5cc27c26a7
Fully-functional,Maina Village Dispensary,Igwamiti,Laikipia West,Laikipia West,Laikipia,Maina C Community Unit,,2018-07-01,6e9b6f8d-c964-41d6-82df-4e5cc27c26a7
Fully-functional,Maina Village Dispensary,Igwamiti,Laikipia West,Laikipia West,Laikipia,Maina B Community Unit,,2018-07-01,6e9b6f8d-c964-41d6-82df-4e5cc27c26a7
