text,variable,code,order,questionId,form_id,form_name
Shared with more than 15 people including other households,HS_toielet_nr_use,HS-2,2,444670051,519630048,household
Shared with 10-15 people (or less) including other households,HS_toielet_nr_use,HS-1,1,444670051,519630048,household
No permission to see,HH-handwashing_facility,HH-4,4,466680043,519630048,household
Fixed facility observed (sink/tap) In dwelling,HH-handwashing_facility,HH-1,1,466680043,519630048,household
Mobile object observed (bucket/jug/kettle),HH-handwashing_facility,HH-3,3,466680043,519630048,household
Fixed facility observed (sink/tap)  In yard/plot,HH-handwashing_facility,HH-2,2,466680043,519630048,household
Water is available,HH_water_available,HH-1,1,466680045,519630048,household
Water is not available,HH_water_available,HH-2,2,466680045,519630048,household
Soap or detergent not available,hh_soap_available,HH-2,2,466760036,519630048,household
Soap or detergent available .,hh_soap_available,HH-1,1,466760036,519630048,household
Pit latrine without slab/open pit,,HS-5,5,492490054,519630048,household
Container based sanitation,,HS-4,4,492490054,519630048,household
Twin pit with slab,,HS-3,3,492490054,519630048,household
Bucket,,HS-6,6,492490054,519630048,household
Flush / pour flush,,HS-1,1,492490054,519630048,household
No facility / Bush / Field,,HS-7,7,492490054,519630048,household
Pit latrine with slab,,HS-2,2,492490054,519630048,household
Yes,HS_toilet_use,HS-1,1,496550059,519630048,household
No,HS_toilet_use,HS-2,2,496550059,519630048,household
No,HS_feaces_present,HS2,2,512010045,519630048,household
Yes,HS_feaces_present,HS-1,1,512010045,519630048,household
Yes,HS_toilet_emptied,HS-1,1,513690059,519630048,household
No,HS_toilet_emptied,HS-2,2,513690059,519630048,household
"Open ground, water body or elsewhere",HS_emptied_location,HS-4,4,513690060,519630048,household
To a treatment plant,HS_emptied_location,HS-1,1,513690060,519630048,household
Buried in a covered pit,HS_emptied_location,HS-3,3,513690060,519630048,household
I dont know where the emptier took the sludge,HS_emptied_location,HS-5,5,513690060,519630048,household
Buried in an uncovered pit,HS_emptied_location,HS-2,2,513690060,519630048,household
No kids present,HS_Childfeaces_disposal,HS-8,8,513690061,519630048,household
Left in the open,HS_Childfeaces_disposal,HS-6,6,513690061,519630048,household
Child used toilet/latrine,HS_Childfeaces_disposal,HS-1,1,513690061,519630048,household
Thrown into garbage (solid waste),HS_Childfeaces_disposal,HS-4,4,513690061,519630048,household
Put/rinsed into drain or ditch,HS_Childfeaces_disposal,HS-3,3,513690061,519630048,household
